,date,text,sentiment
97,2019-06-19 09:15:24,game of thrones shirt,-0.4
98,2019-06-19 08:57:25,i hope robb stark wins the sword seat thing :crossed_fingers:final episode,0.04999999999999999
99,2019-06-19 08:41:33,dracarys knew he was a trouble,-0.2
101,2019-06-19 08:39:13,a month without dany emilia my queen without my fav serie without the best serie 《except last s ( 》im going to love you forever im missing you thanks for everything:red_heart::dragon_face:,0.3
102,2019-06-19 08:27:11,_ this guy just perfected the game of thrones characters :face_with_tears_of_joy::face_with_tears_of_joy: which did he get the most,0.04999999999999999
103,2019-06-19 08:03:45,so this is where game of thrones got it from :face_with_tears_of_joy: …,-0.4
104,2019-06-19 07:59:14,good fucking riddance these writers should never be allowed to work again,0.04999999999999999
105,2019-06-19 07:56:32,and thats the end guys such an amazing show,0.30000000000000004
107,2019-06-19 06:24:30,_jay_origin ok lemme get this straight jon snow was a targeryen for no reason bran was three eye raven for no reason danny's en…,0.35
109,2019-06-19 05:26:38,looks like hbo had a secret inside the episode video ready for game of thrones season 8 finale episode 6 but chose not to air it,-0.20000000000000004
111,2019-06-19 04:09:53,tyrion just went full for the,0.35
115,2019-06-19 01:35:10,check out our video on the secret game of thrones characters we love,-0.10000000000000002
116,2019-06-19 01:30:44,k i'm about to watch the for the first time bc my brain is somewhat messed up and some days i cannot parse new information quickly enough to keep up with shows and things anyway go team frickin dragons and shit,0.046590909090909086
117,2019-06-19 01:22:43,"inspired by and mr _ramin 's amazing soundtrack in the words of maester aemon "" a targaryen a…",0.6000000000000001
118,2019-06-19 01:22:31,say what you will about the the john hughes homage was a bold choice to end on,0.3333333333333333
119,2019-06-19 00:06:18,"this is in no way anything against the actors and crew who worked their butts off for bad writing it't against two ""writer"" who could not finish the series when they had all of that talent daenerys targaryen",-0.6999999999999998
121,2019-06-18 23:50:03,special episode on what did you guys what to see,0.35714285714285715
124,2019-06-18 21:57:45,thanks now we know where drogon went in the,0.2
125,2019-06-18 21:48:49,horrible last episode of game of thrones and horrible last season,-0.48
126,2019-06-18 21:45:36,absolutely the worst episode these writers need to be fed to the dragon if the north is no longer pa…,-0.4
131,2019-06-18 21:14:04,i choose to be satisfied …,0.5
132,2019-06-18 21:02:11,quite telling that less than 24 hours after cannot be found on the trending list :face_with_monocle::woman_shrugging_medium-light_skin_tone:,-0.16666666666666666
133,2019-06-18 20:24:02,drogon destroying the iron throne because new king bran got his own seat …,0.1787878787878788
135,2019-06-18 19:46:25,wht kind of film ends with the main character hanging in btw life and death:person_facepalming::person_facepalming: this film has alot to unwrap like the greater evil than the black eyed king i say got is by far better than itbl :sleepy_face::sleepy_face:,0.09999999999999999
137,2019-06-18 18:28:46,episode 25 is dark and full of spoilers rehashing the finale disappointments of listen if you dare …,0.09999999999999999
138,2019-06-18 18:26:21,everybody let us say thank you to the best cast ever,1.0
140,2019-06-18 17:39:54,:red_heart: congrats to and all the people who worked on this show creating such an inspiring and truly special ex…,0.28571428571428575
144,2019-06-18 17:07:49,"feels cersei deserved a ""better death"" in the do you guys agree",0.5
145,2019-06-18 17:02:08,"gutted that we will never hear the punch line to tyrion's ""i once brought a jackass and a honeycomb into a brothel"" story …",-0.5
147,2019-06-18 16:36:35,if character lives until pretty sure that would become the queen of the seven kingdoms,0.375
148,2019-06-18 16:25:25,how about that i tell ya it sure would be tough to live back then absolutely no ac or electricity wild luckily kong's electric is here to make sure you never have too,0.1351010101010101
150,2019-06-18 15:58:43,no matter what happens with the new service as is will lose all of the value it brings to the market …,0.13636363636363635
151,2019-06-18 15:46:36,so this is where game of thrones got it from :face_with_tears_of_joy: …,-0.4
152,2019-06-18 15:42:52,please create a final episode that lives up to the expectations of 8 seasons 73 episodes an entirely different s8 e6 one far more fitting to the main character one that we all waited for it was sensationally deflating,0.2761904761904762
153,2019-06-18 15:29:51,storm of steel powerful combat memoir click link,0.3
154,2019-06-18 15:22:59,so this is where game of thrones got it from :face_with_tears_of_joy:,-0.4
155,2019-06-18 15:14:35,all hail king jon snow first of his name lord of the north beyond the wall protector of the free folk the white wo…,0.21666666666666667
156,2019-06-18 14:43:50,we have few new arrivals get awesome lich king figurine from gals wallet and sticker for your personal throne,0.23409090909090907
158,2019-06-18 14:05:54,ready,0.2
160,2019-06-18 13:56:25,now available for your listening enjoyment the quad m show ep 156 download or stream from your favorite podcast catchi…,0.45
161,2019-06-18 13:39:17,i just texted my therapist to see if she can squeeze me in tomorrow after watching the series finale of game of thrones…,-0.4
