,date,text
37,2019-06-20 00:44:46,"RT @insoniascarvao: i'm ready, @HBO 
#GameOfThronesFinale #GameOfThrones #Arya https://t.co/rYH3gHRta8"
38,2019-06-20 00:00:23,"🎉🎉🎉🎉The weapon of Arya Stark is raffled,🎀🎀 to participate RT. 
good luck to all (The draw will be held on July 10)  #GameOfThronesFinale https://t.co/Uz7LgHVbOe"
39,2019-06-19 23:21:15,RT @aaronhandler: Jon Snow gets the Coming Home video he deserves #GameOfThrones #GameOfThronesFinale @BarstoolBigCat https://t.co/YEx1oeWu…
40,2019-06-19 23:12:37,RT @EllieGoldwine: Long may she reign #queencersei #cersei #CerseiLannister #gamefthrones #gameofthronesart #gameofthronesspoilers #GameOfT…
41,2019-06-19 22:32:19,"Also, I don’t understand the hate on the #GameofThronesfinale I thought it was perfect 👌 #gameofthones"
42,2019-06-19 21:46:05,RT @piersmorgan: BREAKING: I don't care what happened in the #GameofThronesFinale because I've never watched a second of this fantastical o…
43,2019-06-19 21:43:58,"RT @acursedlove: EVERYBODY LET’S SAY THANK YOU TO THE BEST CAST EVER. 

#GamefThrones #GameOfThronesFinale 
#TheFinalEpisode https://t.co/w…"
44,2019-06-19 21:33:06,"RT @udotai_j: Jamie Lannister's kingslayer level is so high, he tried to kill the king 8 seasons ago😂😂😂
#GameofThrones #GameOfThronesFinale…"
45,2019-06-19 21:12:52,Long may she reign #queencersei #cersei #CerseiLannister #gamefthrones #gameofthronesart #gameofthronesspoilers #GameOfThronesFinale #gameofthronesmemes https://t.co/fKPcefFfgn
46,2019-06-19 21:10:36,"“played game of thrones, won, but died” #DaenerysTargaryen #stormborn #theunburnt #daenerys #GamesOfThrones #gotart #GameofThronesSeason8 #gameofthronesmemes #GameOfThronesFinale #GameofThronesSeason8 https://t.co/lvg8Rh5dVv"
47,2019-06-19 20:55:16,RT @jessicalmorgans: My take on the 30 Day Game of Thrones Challenge https://t.co/vzaDAmYL9Y #gameofthrones #GOT #gotchallenge #GameOfThron…
48,2019-06-19 20:54:02,My take on the 30 Day Game of Thrones Challenge https://t.co/vzaDAmYL9Y #gameofthrones #GOT #gotchallenge #GameOfThronesFinale https://t.co/jgVpZAtNX4
49,2019-06-19 20:34:36,"RT @seventybroad7: Cant wait for the disappointment that will be the #GameOfThronesFinale, at this point I'm more emotionally involved with…"
50,2019-06-19 19:59:30,@GameOfThrones  Its not too late #GameOfThronesFinale https://t.co/tOdB0MvJ9g
51,2019-06-19 19:54:59,"The end of Game of Thrones was  a brave shit!😭😭

#GameOfThronesFinale #GameofThrones"
52,2019-06-19 19:36:16,"Business card Order now
https://t.co/n4EBVE2u2P

#GameOfThronesFinale #Bahrain #AlJazeera #Holocaust #Baghdad #Gaza #Iraq #Poland #Trump #fintech #BrooksKoepkagirlfriend #RobertFSmith #GameofThronesfinale #graphicdesigntrends2019 #Graphicdesign #GrumpyCat #2019graphicdesigntrpic https://t.co/8wYCyixLti"
53,2019-06-19 19:25:08,"Are you sad about Game of Thrones ending? Here are five potential settings for the GOT spin-offs! https://t.co/4rHeJGZcE7
#GOT #GameofThrones #GameOfThronesFinale 
#spinoff"
54,2019-06-19 19:22:33,RT @luismpreto: That iconic shot of Daenerys in the last episode of Season 8? Yea.... Did it first.... #diditfirst #budgetversion #GameOfTh…
55,2019-06-19 19:19:56,That iconic shot of Daenerys in the last episode of Season 8? Yea.... Did it first.... #diditfirst #budgetversion #GameOfThronesFinale #GameOfTrones #GameofThronesSeason8 https://t.co/sAKF51ka7O
56,2019-06-19 19:19:43,"King's landing, #GameOfThronesFinale , Dubrovnik old town https://t.co/QijeSjWJWi"
57,2019-06-19 19:11:16,RT @CBR: Game of Thrones Prequel Series Begins Filming https://t.co/aHnfN9xKKd #GameofThrones #GameOfThronesFinale https://t.co/rNh0q88MQZ
58,2019-06-19 18:09:09,RT @CBR: Game of Thrones Prequel Series Begins Filming https://t.co/aHnfN9xKKd #GameofThrones #GameOfThronesFinale https://t.co/rNh0q88MQZ
59,2019-06-19 17:46:17,RT @Tom_Lowe_: Oh come on! Seriously? That's how they chose to end it??? #GameOfThronesFinale
60,2019-06-19 17:02:19,"RT @fentybeauty: When he says you look beautiful without makeup but that ain’t gonna stop you from buying all the Fenty Beauty you want 
#G…"
61,2019-06-19 16:15:08,RT @CBR: Game of Thrones Prequel Series Begins Filming https://t.co/aHnfN9xKKd #GameofThrones #GameOfThronesFinale https://t.co/rNh0q88MQZ
62,2019-06-19 16:13:36,RT @CBR: Game of Thrones Prequel Series Begins Filming https://t.co/aHnfN9xKKd #GameofThrones #GameOfThronesFinale https://t.co/rNh0q88MQZ
63,2019-06-19 16:13:28,RT @CBR: Game of Thrones Prequel Series Begins Filming https://t.co/aHnfN9xKKd #GameofThrones #GameOfThronesFinale https://t.co/rNh0q88MQZ
