,date,text,sentiment
78,2019-06-17 19:13:48,"RT @StartGrowthHack: Another example of deepfake. This time Jon Snow apologized for season 8 of Game Of Thrones.

#GameOfThrones #GameOfThr…",-0.4
83,2019-06-17 18:18:25,Everyone wanted a better death for her!! #GameOfThronesFinale https://t.co/8IobGGyEEB,0.5
85,2019-06-17 17:42:38,"Unable to let @GameOfThrones go? Neither are we, so we talk about it now that the dust has settled on the series finale, and share our thoughts on how it did - and should - have ended.

#GameOfThronesFinale #podcast

https://t.co/7DG7km2gcl",0.625
93,2019-06-17 16:05:39,"RT @TootingPRSS: Thanks @TootingTram for adding your #GameOfThrones Quiz to our #Tooting events page! https://t.co/ClOOfTRyDD
#GameOfThrone…",0.3
94,2019-06-17 16:00:33,"RT @TootingPRSS: Thanks @TootingTram for adding your #GameOfThrones Quiz to our #Tooting events page! https://t.co/ClOOfTRyDD
#GameOfThrone…",0.48828125
95,2019-06-17 15:49:26,"RT @Elhassan143: So basically Jon Snow went through what he had to go through just to get back to what he used to go through😭
#GOT #GameOfT…",-0.4
99,2019-06-17 15:25:05,"Discover The 5 Step Framework I Used To Help My Students “Go From Zero” To Selling Over $31 Million in Products - Download My Audiobook Now!

  ""Master The Entire Formula To Starting From ZERO""

        https://t.co/WpMncTCyWo

#USA #uxdesignweekly  #USA #CA #GameOfThronesFinale",-0.4
108,2019-06-17 12:45:44,RT @AnahitaEfte: The most successful part of #GameOfThronesFinale was getting me pumped about the characters’ endings in relation to the bo…,0.3333333333333333
110,2019-06-17 12:03:00,"Scene is so similar... Looks like carbon copy from an old
Indian TV show Aladdin... Must watch!!

@HBO @GameOfThrones 
#aryakillsnightking #hbo  #GameOfThronesFinale #aryastark #copy
#resemblanceisuncanny https://t.co/TrxtTCTeC8",0.4
111,2019-06-17 10:52:25,"RT @gidoesworld: #VOICE_ANATOMY IS COMING BACK! GET YOUR TICKET! I'M NOT ASHAMED OF #JESUS_CHRIST!
#جدة_الأن #มาตาฮารีโป๊ะแตก #GameOfThrone…",0.4
117,2019-06-17 08:28:39,"RT @TheRealMuftah: The best speech ever in game of thrones 🤣🤣

#gameofthrones
#gameofthronesfinale https://t.co/PBOXCtwMd7",-0.4
